review_id,class_name,source_image_path,labeling_status,manual_label_path,action,issue_type,notes
glass_000041,glass,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_07.jpg,TODO,,RELABEL,,
glass_000042,glass,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_03.jpg,TODO,,RELABEL,,
glass_000161,glass,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_02.jpg,TODO,,RELABEL,,
glass_000162,glass,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_08.jpg,TODO,,RELABEL,,
glass_000163,glass,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_05.jpg,TODO,,RELABEL,,
glass_000164,glass,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_06.jpg,TODO,,RELABEL,,
glass_000165,glass,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_09.jpg,TODO,,RELABEL,,
glass_000166,glass,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_04.jpg,TODO,,RELABEL,,
glass_000167,glass,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713.jpg,TODO,,RELABEL,,
glass_000168,glass,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_01.jpg,TODO,,RELABEL,,
metal_000041,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_15.jpg,TODO,,RELABEL,,
metal_000042,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_05.jpg,TODO,,RELABEL,,
metal_000043,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_18.jpg,TODO,,RELABEL,,
metal_000044,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_23.jpg,TODO,,RELABEL,,
metal_000045,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_13.jpg,TODO,,RELABEL,,
metal_000161,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_10.jpg,TODO,,RELABEL,,
metal_000162,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_17.jpg,TODO,,RELABEL,,
metal_000163,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_11.jpg,TODO,,RELABEL,,
metal_000164,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_14.jpg,TODO,,RELABEL,,
metal_000165,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_16.jpg,TODO,,RELABEL,,
metal_000166,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_01.jpg,TODO,,RELABEL,,
metal_000167,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_12.jpg,TODO,,RELABEL,,
metal_000168,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_21.jpg,TODO,,RELABEL,,
metal_000169,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_06.jpg,TODO,,RELABEL,,
metal_000170,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_09.jpg,TODO,,RELABEL,,
metal_000171,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_02.jpg,TODO,,RELABEL,,
metal_000172,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_22.jpg,TODO,,RELABEL,,
metal_000173,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_04.jpg,TODO,,RELABEL,,
metal_000174,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_19.jpg,TODO,,RELABEL,,
metal_000175,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_07.jpg,TODO,,RELABEL,,
metal_000176,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_08.jpg,TODO,,RELABEL,,
metal_000177,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546.jpg,TODO,,RELABEL,,
metal_000178,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_03.jpg,TODO,,RELABEL,,
metal_000179,metal,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_20.jpg,TODO,,RELABEL,,
paper_000021,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_21.jpg,TODO,,RELABEL,,
paper_000022,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_05.jpg,TODO,,RELABEL,,
paper_000023,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_02.jpg,TODO,,RELABEL,,
paper_000024,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_15.jpg,TODO,,RELABEL,,
paper_000081,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_09.jpg,TODO,,RELABEL,,
paper_000082,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_12.jpg,TODO,,RELABEL,,
paper_000083,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_16.jpg,TODO,,RELABEL,,
paper_000084,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_19.jpg,TODO,,RELABEL,,
paper_000085,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_06.jpg,TODO,,RELABEL,,
paper_000086,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_13.jpg,TODO,,RELABEL,,
paper_000087,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_18.jpg,TODO,,RELABEL,,
paper_000088,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_14.jpg,TODO,,RELABEL,,
paper_000089,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_10.jpg,TODO,,RELABEL,,
paper_000090,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_01.jpg,TODO,,RELABEL,,
paper_000091,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_11.jpg,TODO,,RELABEL,,
paper_000092,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_04.jpg,TODO,,RELABEL,,
paper_000093,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_17.jpg,TODO,,RELABEL,,
paper_000094,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_07.jpg,TODO,,RELABEL,,
paper_000095,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_08.jpg,TODO,,RELABEL,,
paper_000096,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751.jpg,TODO,,RELABEL,,
paper_000097,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_03.jpg,TODO,,RELABEL,,
paper_000098,paper,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_20.jpg,TODO,,RELABEL,,
plastic_000041,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_09.jpg,TODO,,RELABEL,,
plastic_000042,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_12.jpg,TODO,,RELABEL,,
plastic_000043,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_05.jpg,TODO,,RELABEL,,
plastic_000044,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_20.jpg,TODO,,RELABEL,,
plastic_000045,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220900255_01.jpg,TODO,,RELABEL,,
plastic_000046,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_22.jpg,TODO,,RELABEL,,
plastic_000047,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_29.jpg,TODO,,RELABEL,,
plastic_000161,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_16.jpg,TODO,,RELABEL,,
plastic_000162,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_26.jpg,TODO,,RELABEL,,
